,task_name,mean_f,std_f_chen,std_f_veclength,RMSE_this,temp,pres,RMSE_dptest
0,task.001.000000,6.46035727713246,4.407607726328736,7.63420052183451,0.3203424044293182,4000.0,7500000,0.3203424
1,task.001.000001,2.521055730453017,1.631713972105912,2.8262115031074653,0.15090026456113625,1000.0,6500000,0.1509003
2,task.001.000002,5.611632788742368,3.6377689024347606,6.300800565211075,0.3134375908208101,5000.0,4000000,0.3134376
3,task.001.000006,7.779133774244371,4.798204009001928,8.310733128672014,0.35692235575570264,7000.0,8000000,0.517844
4,task.001.000009,4.991137478752449,3.26136024115337,5.648841639462723,0.17711355393989636,5000.0,2500000,0.42002
5,task.001.000010,4.176304508503509,2.5860144098964155,4.479108347045839,0.23533251726792245,4000.0,4000000,0.2732785
6,task.001.000011,3.270168529094039,2.043080185030849,3.538718684410653,0.20216782248293164,2000.0,4500000,0.3569224
7,task.001.000012,4.3906552722991545,2.8289138730918806,4.899822558431591,0.1670896730914769,9000.0,1500000,0.4388839
8,task.001.000013,9.402861536693042,6.128215904335784,10.614381306061235,0.5569743091862163,11000.0,7000000,0.3984648
9,task.001.000014,5.551257299563942,3.381763219246971,5.857385714903442,0.1986159249423228,6000.0,4500000,0.1771136
10,task.001.000015,7.802819614395912,5.267785582531943,9.124072272324138,0.46681719986050396,8000.0,9000000,0.2353325
11,task.001.000016,7.512551080302259,4.711546384984396,8.160637721010445,0.4737831314630141,5000.0,10500000,0.2021678
12,task.001.000017,6.659138282120843,4.040416215986688,6.998206169814129,0.27421054156654867,9000.0,5000000,0.1670897
13,task.001.000018,9.911229312780124,6.447085182342736,11.166679096542076,0.5883328712528934,7000.0,9500000,0.5569743
14,task.001.000019,7.213093289421971,4.611857546159273,7.987971587217789,0.4232741040200373,5000.0,9500000,0.1986159
15,task.001.000020,7.9228599485660025,5.02660901454316,8.706342202972479,0.5923723827336065,6000.0,10500000,0.4668172
16,task.001.000021,3.6287454833089385,2.4181645124826234,4.188383796679928,0.11767054861956829,8000.0,1500000,0.4737831
17,task.001.000022,7.124134350547776,4.50300316324785,7.799430265388647,0.23948848523862776,12000.0,5000000,0.2742105
18,task.001.000023,4.31368561342846,2.682291409386522,4.6458650017629886,0.17715722925451632,3000.0,3000000,0.5883329
19,task.001.000024,6.780172338431219,4.353963640962765,7.5412862404550856,0.5328436215083203,11000.0,4000000,0.4232741
20,task.001.000025,7.924683100231939,5.1016569946553805,8.836329117532262,0.3886982352586812,10000.0,6500000,0.5923724
21,task.001.000026,2.4146338198507364,1.5759163877605047,2.72956725208161,0.13259886490283135,1000.0,8500000,0.1176705
22,task.001.000030,5.320274149749615,3.440674849527684,5.95942365170635,0.24613881491410972,7000.0,3500000,0.2394885
23,task.001.000033,2.9368688833139047,1.8444515375284405,3.1946837750977926,0.16797302988765678,1000.0,9000000,0.1771572
24,task.001.000037,6.33277949881233,3.869880566960318,6.702829761198723,0.28360500110790227,10000.0,4500000,0.5328436
25,task.001.000038,4.475517515183679,2.8847580504038954,4.996547510842887,0.17949163401808044,3000.0,3000000,0.3886982
26,task.001.000039,4.097369886901277,2.7150274306778894,4.702565453877293,0.18063553602473573,6000.0,1500000,0.1325989
27,task.001.000041,6.08469991528171,4.094472967727479,7.091835210321318,0.15241477105173476,11000.0,1000000,0.1231853
28,task.001.000042,11.652273095431346,7.6951381502846035,13.328370247554522,0.7336479011260797,12000.0,10500000,0.508117
29,task.001.000044,7.274734273681473,4.606397306310318,7.978514174377888,0.4216854990146141,7000.0,5000000,0.2032004
30,task.001.000046,7.012808834181428,4.443263797711473,7.695958649067713,0.7621024248467516,6000.0,7000000,0.2461388
31,task.001.000048,3.8347231270164115,2.4682738262157122,4.275175673998047,0.1525047624215194,2000.0,8500000,0.5869779
32,task.001.000049,2.3984386129205886,1.5168457655252239,2.627253933135395,0.10745410685144885,3000.0,1500000,0.3792674
33,task.001.000051,2.49860344640312,1.6309067209881227,2.824813303156987,0.11402799257246632,6000.0,500000,0.167973
34,task.001.000055,9.399938941432946,6.060974769170682,10.49791624359667,0.46554357597013846,7000.0,8500000,0.1379865
35,task.001.000056,7.712134058627432,4.764133740609639,8.251721692789062,0.7213348576893976,6000.0,6500000,0.1427413
36,task.001.000067,6.44109558840966,4.179383996065352,7.238905425525434,0.3173729577603152,11000.0,3000000,0.1864083
37,task.001.000077,6.778844145576981,4.192943917397498,7.262391898219348,0.3585929430368094,5000.0,10000000,0.283605
38,task.001.000078,4.7872607897606665,3.0981236701852786,5.366107604892665,0.22214033112726556,8000.0,2000000,0.1794916
39,task.001.000082,6.961503452142566,4.407185269730566,7.6334688055424875,0.6072499846683613,6000.0,10000000,0.1806355
40,task.001.000086,8.912281540086179,5.695825005698333,9.8654583008908,0.5610456334144637,9000.0,10500000,0.07585905
41,task.001.000087,1.4342081972150118,0.9451337409692911,1.6370196593064523,0.056707587398903365,1000.0,1000000,0.1524148
42,task.001.000088,1.9222067200409587,1.2249765711340943,2.121721659285761,0.07536663179131095,1000.0,3000000,0.7336479
43,task.001.000089,6.4372003887245395,4.310749344496414,7.466436883362023,0.3706813874439009,7000.0,7500000,0.5324635
44,task.001.000090,5.910259321086511,3.789170967571419,6.563036634398619,0.33419036108262246,7000.0,8000000,0.4216855
45,task.001.000091,7.07424453918192,4.725535195260511,8.184867051146119,0.41415028663201503,9000.0,4000000,0.2583151
46,task.001.000092,2.6715037716242613,1.707404670485317,2.9573116383609652,0.1849259398538418,1000.0,8500000,0.7621024
47,task.001.000093,10.568748387206359,7.011691514815189,12.144605950659491,0.548478297556951,7000.0,10500000,0.415768
48,task.001.000094,4.213556946457506,2.6881803067757057,4.656064871241613,0.13650580457391268,9000.0,1500000,0.1525048
49,task.001.000095,8.582725606849904,5.870288626605861,10.167638156375077,0.4230940952737716,10000.0,9000000,0.1074541
50,task.001.000096,7.605037043689848,5.054434956073798,8.754538147471983,0.3324200431323278,8000.0,6000000,0.1585079
51,task.001.000097,8.613323309482158,5.588197797777367,9.67904250849491,0.3916236489411778,10000.0,9500000,0.114028
52,task.001.000098,2.452762744138742,1.5149159850042297,2.6239114552255765,0.11748663253067677,1000.0,4500000,0.2679519
53,task.001.000099,2.637109186128473,1.712518623759694,2.9661692652597185,0.10454503415510118,2000.0,2500000,0.3639256
54,task.001.000100,2.699128588441051,1.918144031956937,3.3223229195844355,0.22012984156465645,10000.0,500000,0.4109529
55,task.001.000102,5.864578540437265,3.769909943123428,6.529675561448872,0.23539780759097795,3000.0,10500000,0.4655436
56,task.001.000103,5.764362703285822,3.7734985458424855,6.535891203686461,0.28839772620699217,9000.0,4000000,0.7213349
57,task.001.000104,1.6040542853691435,1.1390021233346326,1.972809547544416,0.09378417721268095,1000.0,2000000,0.2476172
58,task.001.000105,5.289176869700115,3.3902369765737146,5.872062693124373,0.3236826857950414,9000.0,3000000,0.2565904
59,task.001.000106,5.467133423981683,3.3491163355404776,5.800839653615002,0.3974488559068026,9000.0,3000000,0.5389824
60,task.001.000107,2.589005601964558,1.8840541177745218,3.2632774561948295,0.10751545573036297,7000.0,500000,0.4094755
61,task.001.000108,6.176705161753942,4.050605487888493,7.01585450644019,0.33951045052545087,5000.0,5500000,0.1659905
62,task.001.000111,7.557334427161163,4.747412453658441,8.222759574221648,0.41202650456237166,10000.0,7000000,0.1268265
63,task.001.000114,9.582513812946544,6.145047805763072,10.643535014521287,0.7849761231245975,11000.0,9000000,0.2751344
64,task.001.000115,9.729541859341836,6.420584854702734,11.120779182652374,0.6058837290509137,12000.0,7500000,0.1703888
65,task.001.000117,2.9270950879657884,1.911034148033047,3.310008239392341,0.15014444906762303,1000.0,7000000,0.6647292
66,task.001.000118,2.1908131026118625,1.4850289042178568,2.5721455128136603,0.10905933808365426,3000.0,1000000,0.3454613
67,task.001.000121,8.713435787453315,5.575618910384726,9.657255236428169,0.38754689801882836,11000.0,4000000,0.317373
68,task.001.000122,8.067586963410864,5.074430492678521,8.789171432795968,0.49101829448302026,11000.0,7000000,0.1662112
69,task.001.000123,5.7235613001675985,3.956317394940055,6.852542738904719,0.166186317579071,8000.0,2000000,0.0877097
70,task.001.000124,9.148933082963692,6.139062446118602,10.633168067515491,0.5710435957103156,11000.0,8500000,0.3265438
71,task.001.000125,2.8611532317481405,1.9686614085302245,3.4098215824744575,0.13730836625902787,4000.0,1000000,0.6018537
72,task.001.000126,7.107010038927716,4.73773764048974,8.206002306259723,0.6122690963566116,9000.0,7500000,0.2975589
73,task.001.000127,7.780614931338862,5.063239407800713,8.769787905195788,0.44726597182141936,11000.0,4000000,0.3578733
74,task.001.000128,7.129801163939123,4.744227640697542,8.217243316360767,0.710847560765339,8000.0,5000000,0.5526694
75,task.001.000129,3.3130060832804946,2.2600885460844538,3.914588191422747,0.20587472285787933,10000.0,1000000,0.2887901
76,task.001.000130,7.879483056959758,5.288998673127134,9.16081442302057,0.44113853245936824,10000.0,7500000,0.5218631
77,task.001.000131,6.493261935713845,4.8204235846355425,8.349218562592053,0.25982967002324864,11000.0,5500000,0.3585929
78,task.001.000135,9.569109297920894,6.192185800087525,10.725180415658132,0.6487804287206225,9000.0,9000000,0.2221403
79,task.001.000136,3.6625307977349233,2.307099252271666,3.996013123038691,0.19630117507895575,2000.0,10000000,0.06377006
80,task.001.000137,5.768474728350367,3.76813258310743,6.5265970835978235,0.2941841386761744,4000.0,9000000,0.3180701
81,task.001.000138,6.066982258006928,3.7237906953742868,6.449794681140503,0.3413833926343467,6000.0,6500000,0.2905609
82,task.001.000141,3.9647800904756982,2.569569773673036,4.450625401594958,0.19567703854454427,4000.0,3000000,0.60725
83,task.001.000142,8.744717938917999,5.47307198844259,9.479638757464588,0.527222638630171,11000.0,7500000,0.1546906
84,task.001.000143,3.718770268790185,2.341279981870444,4.055215883343549,0.16344507588885587,4000.0,4500000,0.1799418
85,task.001.000144,2.8130181843747786,1.7817940840234343,3.0861578821542355,0.1301912267953816,1000.0,9000000,0.4957557
86,task.001.000145,8.357527573001596,5.297036584147764,9.174736493295022,0.7005598910130535,8000.0,9000000,0.5610456
