,task_name,mean_f,std_f_chen,std_f_veclength,RMSE_this,temp,pres,RMSE_dptest
0,task.013.000006,6.496332189029109,4.117512633722923,7.131741082414843,0.2178006933890569,10000.0,4000000,0.3508015
1,task.013.000010,1.780377094946427,1.1809547449063502,2.0454736196173373,0.05778041189589976,5000.0,500000,0.4211287
2,task.013.000011,4.645257797780242,2.87154255756215,4.973657605793921,0.14445237213917686,3000.0,5500000,0.1009745
3,task.013.000012,2.79308173246276,1.7515222394259191,3.033725509272511,0.1146294243629668,1000.0,7000000,0.1613336
4,task.013.000013,3.166968108019175,1.9660854258129308,3.405359849528686,0.09001244364239941,2000.0,4000000,0.3234877
5,task.013.000016,6.903666540190479,4.299900443906651,7.447646036334287,0.2619562122127701,10000.0,6500000,0.1862791
6,task.013.000019,9.629896865108881,6.160389134967646,10.670106976159248,0.5013965692384931,10000.0,8000000,0.2178007
7,task.013.000020,4.5273661408345935,2.895800579270271,5.015673731883495,0.24342375367617602,2000.0,10500000,0.4848822
8,task.013.000023,3.499608510936094,2.2731115827505386,3.9371447525972343,0.1242370622880147,2000.0,6000000,0.2760312
9,task.013.000024,6.049411910173501,4.32316279799516,7.487937615519243,0.23275186163472417,4000.0,5000000,0.3575076
10,task.013.000025,7.957373928923729,5.137395511724824,8.898230044883706,0.3232365179669784,12000.0,4500000,0.05778041
11,task.013.000026,7.097496440514318,4.4179991534241125,7.65219900152685,0.2896295743647886,9000.0,7000000,0.1444524
12,task.013.000027,5.574977171025401,3.5235168784782367,6.102910254850799,0.16646506294293092,4000.0,7500000,0.1146294
13,task.013.000028,6.4395434984289395,4.046455123121578,7.008665863793948,0.2417379645634271,4000.0,10000000,0.09001244
14,task.013.000029,7.359001134419721,4.67710311486793,8.10098022718991,0.35893368396297165,9000.0,7500000,0.1342311
15,task.013.000030,4.301518495852597,2.6556995589678642,4.599806565770599,0.23583985265131105,2000.0,10000000,0.190475
16,task.013.000031,7.4124078440715975,4.625030261402125,8.010787399292045,0.26404465497699026,4000.0,10000000,0.2619562
17,task.013.000032,7.255615807418588,4.483757105776489,7.76609511600286,0.2804281246569858,8000.0,7500000,0.2396911
18,task.013.000033,6.482441514842966,4.159572978169849,7.204591735980764,0.26006183683425044,5000.0,7000000,0.06865025
19,task.013.000039,4.554971659802909,2.9024484579376173,5.0271881954978905,0.21736682370932822,6000.0,4500000,0.5013966
20,task.013.000040,6.660941568352592,4.090214024400539,7.084458504092502,0.21115280802375824,8000.0,5000000,0.2434238
21,task.013.000041,9.816954172300104,6.416894447058386,11.11438720911172,0.32904202165565266,9000.0,8000000,0.159102
22,task.013.000042,1.6213289615362858,1.0844307440382321,1.8782891459639386,0.053279314413298855,3000.0,500000,0.340474
23,task.013.000043,2.7278954751964046,1.7271487738569913,2.991509428550597,0.06738082380471613,3000.0,1500000,0.1242371
24,task.013.000049,6.2109666789775675,4.139225913986492,7.169349587030327,0.22245730338113812,10000.0,3000000,0.2327519
25,task.013.000050,4.78381328373925,3.0794267408347396,5.333723573312006,0.1590600586030171,10000.0,3000000,0.3232365
26,task.013.000054,3.5054460559103293,2.1500082309358386,3.7239234926721525,0.12718587369622816,1000.0,7500000,0.2896296
27,task.013.000064,8.922362719228525,5.852237230943355,10.136372221940087,0.4077914129545994,12000.0,10500000,0.1664651
28,task.013.000066,5.801481444425023,3.734002498556698,6.467482043089335,0.21062689960043227,7000.0,4000000,0.241738
29,task.013.000067,3.340730676342254,2.097046624316054,3.632191299156208,0.1402551672924434,2000.0,7500000,0.3589337
30,task.013.000069,8.364516266775977,5.550014497759472,9.612907092863269,0.40739329162950716,11000.0,7000000,0.2358399
31,task.013.000071,4.15952420948446,2.6025064168684637,4.507673341040206,0.15541479504376368,3000.0,6500000,0.2640447
32,task.013.000072,7.051074691359021,4.536699551719161,7.857794122252537,0.2196368715453557,7000.0,4000000,0.2804281
33,task.013.000076,8.334561643642159,5.377491773082972,9.314088968263356,0.34922504198609594,6000.0,9500000,0.2600618
34,task.013.000079,3.673555284101156,2.730240510251007,4.72891528063752,0.12971270768157225,3000.0,3500000,0.04910539
35,task.013.000080,5.695235272556736,3.587850549355661,6.214339441447913,0.22570228435111697,4000.0,8000000,0.2385297
36,task.013.000081,7.614291289246036,4.946938981893759,8.568349658583045,0.28433182484219915,8000.0,4500000,0.3658899
37,task.013.000082,8.67204291177365,5.36362396328671,9.290069217106527,0.3469174078321871,12000.0,8500000,0.4690466
38,task.013.000083,5.498195139620861,3.3874160891664826,5.867176772812614,0.1972888656463663,3000.0,9000000,0.1730188
39,task.013.000085,9.056697823829975,5.66197791567021,9.806833421273735,0.4659445053275083,9000.0,9000000,0.2173668
40,task.013.000086,3.3265423070087836,2.5975417970146055,4.49907436721306,0.08254821605755547,9000.0,500000,0.2111528
41,task.013.000087,4.229733174379939,2.822193343816368,4.88818226027265,0.1378571216812489,2000.0,8000000,0.329042
42,task.013.000091,9.688714215416402,6.1154316377565925,10.592238306808568,0.40494514908341545,9000.0,8500000,0.05327931
43,task.013.000094,1.673058502016034,1.0805444978218195,1.8715579700663862,0.045205386636461745,2000.0,1000000,0.06738082
44,task.013.000095,5.565317279706108,4.057238064870715,7.02734246675851,0.25487793372681394,6000.0,8000000,0.31197
45,task.013.000096,2.0330429854199017,1.2656614814616396,2.1921899910744527,0.06807581290756388,2000.0,1500000,0.3055437
46,task.013.000098,2.695194867890351,1.8658679788396841,3.231778139566183,0.08959060730328923,8000.0,1000000,0.2945348
47,task.013.000099,2.3848014874152876,1.497847181275052,2.594347419942218,0.06777561008352512,1000.0,3500000,0.04507784
48,task.013.000100,8.247590433018695,5.226328353498411,9.052266245297043,0.3306551792499469,8000.0,7500000,0.3098209
49,task.013.000101,4.434359847489547,2.7625101275441817,4.784807897330101,0.17898180077684325,2000.0,9500000,0.2224573
50,task.013.000102,2.614295048611138,1.7700688598785779,3.0658491982052127,0.05870101614609566,3000.0,1000000,0.1590601
51,task.013.000108,5.991578177833908,3.793536375599767,6.570597742899489,0.21818569104568888,12000.0,2500000,0.4512687
52,task.013.000112,4.718773141542317,3.040698168125192,5.2666437176744445,0.20285793364577154,4000.0,7000000,0.21895
53,task.013.000115,11.353269535335057,7.159489625474355,12.400599787583856,0.4380389810585589,10000.0,9500000,0.181061
54,task.013.000116,3.714954644501415,2.3222721505152677,4.022293353694682,0.16198819554407956,3000.0,4500000,0.1271859
55,task.013.000117,2.4978820925669427,1.547002176144579,2.6794863685020287,0.10701292626004807,1000.0,7000000,0.096426
56,task.013.000122,1.7164462126333113,1.0747257465038011,1.861479597146972,0.049195028069136226,1000.0,1500000,0.2737752
57,task.013.000125,2.511220886810293,1.5876973391737217,2.7499724584908014,0.08701954883773715,2000.0,2000000,0.4100056
58,task.013.000126,5.06382401401792,3.2477732128230703,5.625308216070764,0.2036385185287115,4000.0,9000000,0.2656189
59,task.013.000128,5.4442711871518625,3.40695032699486,5.901011065218496,0.17410440861308413,7000.0,3500000,0.1924491
60,task.013.000133,8.173273794069516,5.072674313073332,8.786129640492563,0.27115661761423154,6000.0,10000000,0.1164524
61,task.013.000134,5.519797820342537,3.637365972133745,6.300102669457807,0.24057577627405752,9000.0,3500000,0.2175777
62,task.013.000135,4.623103287867546,2.9472535984845503,5.104792975365444,0.15762537236239582,10000.0,2000000,0.2665162
63,task.013.000136,6.889364427958756,4.520092731576549,7.829030266013373,0.23844536052551912,10000.0,5000000,0.357176
64,task.013.000137,6.988990378100733,4.764001819123364,8.251493198072223,0.21640902504720466,11000.0,4000000,0.4077914
65,task.013.000139,2.6767672775191826,2.032453718225761,3.5203131039992956,0.08144119218891265,12000.0,500000,0.1426089
66,task.013.000140,8.44962280546624,5.231929262492099,9.061967304242682,0.3167404731111876,10000.0,5500000,0.2106269
67,task.013.000142,8.350840264907182,5.323530401925238,9.220625131772074,0.2737735248117025,10000.0,6500000,0.1402552
68,task.013.000143,2.883077360030914,1.7759336994746246,3.0760073983638043,0.10738278243051562,1000.0,6000000,0.2274556
69,task.013.000144,11.125783502267506,7.183254997947966,12.441762620168946,0.5385571721883233,11000.0,7000000,0.4073933
70,task.013.000145,5.179007777249537,3.746660544469935,6.489406421735599,0.1577366121643719,11000.0,1000000,0.4188057
71,task.013.000146,5.743293208348852,3.682712027538977,6.378644341342501,0.14067063728309212,8000.0,2000000,0.1554148
72,task.013.000152,4.260893259151547,2.7695021277437766,4.796918396922332,0.12418691257560617,4000.0,2500000,0.2196369
73,task.013.000153,8.807011961298965,6.198106024086342,10.735434544416274,0.3074185025269085,11000.0,5500000,0.3838419
74,task.013.000154,4.969201217204865,3.272224690045933,5.667659416940877,0.15663808152563116,4000.0,5000000,0.167814
75,task.013.000155,5.4344170282500786,3.3934948960060867,5.877705575108205,0.3144348218144378,3000.0,10500000,0.3059459
76,task.013.000156,2.7347961746848712,1.8107243478212642,3.1362665689284475,0.09794235217620378,3000.0,1000000,0.349225
77,task.013.000157,6.546384984578438,4.0333509285735225,6.985968733044449,0.3218723105235595,6000.0,6000000,0.1779449
78,task.013.000158,5.245019264375077,3.268501665910885,5.661210949981169,0.18140784955823705,5000.0,3000000,0.1395721
79,task.013.000161,3.2471057489920665,2.069790360487108,3.5849820653799713,0.09842606245535367,6000.0,1000000,0.1297127
80,task.013.000166,5.748413712449552,3.544171989019232,6.138685955743754,0.2261407119128483,3000.0,10000000,0.2257023
81,task.013.000167,1.3206946469177026,0.8346358303348763,1.4456316639574416,0.03595706832207187,1000.0,1000000,0.2843318
82,task.013.000173,5.0705781055867245,3.32530043797879,5.7595893090103045,0.17575751723261882,6000.0,3500000,0.3469174
83,task.013.000174,7.382177294682399,4.829174065336176,8.364374839756199,0.4020560789684024,8000.0,6500000,0.1972889
84,task.013.000175,7.254100855875549,4.629996301946066,8.019388833826598,0.20852737534990437,7000.0,4500000,0.3022309
85,task.013.000179,4.023499950795429,2.471338941383935,4.2804846092004585,0.11395171140299513,3000.0,4000000,0.4659445
86,task.013.000186,7.4363424244654075,4.8459523781889855,8.393435730082553,0.33866678426595853,10000.0,6000000,0.08254822
87,task.013.000191,7.191981454022673,4.486867307122993,7.771482142756772,0.2347560515938028,8000.0,4000000,0.1378571
88,task.013.000196,10.09157403526339,6.718140653439736,11.636160944151602,0.38774571719612,9000.0,7500000,0.07430636
89,task.013.000198,3.112916992570033,1.965297736447747,3.4039955315276043,0.1111136636717174,5000.0,1000000,0.05474859
90,task.013.000201,5.101191614950541,4.01048016029688,6.946355400381172,0.10228785886421242,12000.0,1000000,0.162267
91,task.013.000204,3.030443084846707,1.905554756854314,3.30051765547623,0.10271894883235023,2000.0,5500000,0.4049451
92,task.013.000206,6.093989821992344,3.889980551780928,6.737643956139382,0.1632100531862191,9000.0,2000000,0.3250035
93,task.013.000211,4.015746703700982,2.648399971686924,4.587163309725727,0.1773909519915989,6000.0,3000000,0.2704098
94,task.013.000212,2.8407328850547313,1.8056934597500647,3.127552815181937,0.11637170330691755,1000.0,8000000,0.04520539
