,task_name,mean_f,std_f_chen,std_f_veclength,RMSE_this,temp,pres,RMSE_dptest
0,task.008.000001,6.2860402341766255,4.201760814967443,7.2776632127756224,0.7503243853956771,9000.0,8000000,0.3339146
1,task.008.000003,3.9183534483192597,2.559652768975846,4.433448645600525,0.5168383948982005,8000.0,4000000,0.7503244
2,task.008.000004,5.499455621851576,3.491564251042912,6.047566680697498,0.5427606881839291,8000.0,5500000,0.5566122
3,task.008.000005,4.075594410160606,2.6131710206165226,4.526144976574435,0.524814859957136,4000.0,8000000,0.5168384
4,task.008.000007,1.6281952004119282,1.0609109608188372,1.8375516864449404,0.327660969674353,1000.0,5500000,0.5427607
5,task.008.000010,4.582772071679073,2.843644635458049,4.9253369872840205,0.6268502947847808,11000.0,7000000,0.5248149
6,task.008.000014,2.8804060254969874,1.8276954456385592,3.1656613726082248,0.47424706912865394,6000.0,1000000,0.4904484
7,task.008.000015,2.7103881705675366,1.8298575393471181,3.169406228762174,0.4818164945943138,3000.0,1000000,0.327661
8,task.008.000016,3.448461771963608,2.2983200455083006,3.9808070908743907,0.38206943875547694,11000.0,500000,0.1897467
9,task.008.000018,7.800961369344868,5.352179786416322,9.27024732131621,0.7146199987264561,12000.0,6000000,0.5308307
10,task.008.000022,3.420747529946317,2.334258773091538,4.043054793007934,0.3684505625603048,5000.0,1500000,0.6268503
11,task.008.000023,4.807654492520109,3.1547263225512636,5.464146274633711,0.4918897384342872,4000.0,7500000,0.5085263
12,task.008.000025,3.5255680866878434,2.1698950934623733,3.758368548971248,0.4463604008822722,2000.0,9500000,0.5401792
13,task.008.000026,3.3372519400216527,2.1396796281014243,3.7060338277917433,0.44863069161398245,8000.0,1500000,0.4687747
14,task.008.000028,2.0767972683504268,1.3039347143536932,2.2584811750134075,0.4642449702266051,2000.0,2500000,0.4742471
15,task.008.000029,4.456520724433427,3.0171092468714256,5.22578650756718,0.5126197592309861,6000.0,6000000,0.4818165
16,task.008.000036,7.022353126840696,4.514991291005062,7.820194311751766,0.6070034597994154,9000.0,10500000,0.3820694
17,task.008.000038,5.3756272856809675,3.53273039489753,6.118868533405387,0.7214247342926636,11000.0,10500000,0.4662779
18,task.008.000039,4.32179685554918,2.756835621960632,4.774979365351561,0.5540656378820753,9000.0,4500000,0.71462
19,task.008.000040,8.277880187086843,5.453222060333049,9.445257673452273,0.6108868121913746,12000.0,9000000,0.4667847
20,task.008.000042,4.7144615083262975,3.1944807642251014,5.533002987439331,0.4370024236512411,6000.0,6000000,0.6201233
21,task.008.000043,2.2251800673334823,1.4518276236625496,2.5146392080155233,0.32942499428327043,2000.0,500000,0.2845309
22,task.008.000045,3.278457994971711,2.077871756405308,3.598979453706374,0.44079237122341325,2000.0,4000000,0.3684506
23,task.008.000046,3.120154306627164,2.461105322528419,4.26275946139741,0.27731728298433794,3000.0,500000,0.4918897
24,task.008.000047,3.2645377537198628,2.1438096271433795,3.7131871959676217,0.44490725553188404,6000.0,2000000,0.6434425
25,task.008.000048,1.8301438527087937,1.205876296935938,2.088639013936058,0.2808723779715698,2000.0,1500000,0.4463604
26,task.008.000049,5.046046441541736,3.298506874058831,5.71318149498509,0.6588702757072126,5000.0,8500000,0.4486307
27,task.008.000052,4.818279411655634,3.062925470596559,5.305142534870054,0.4561018853940261,5000.0,9500000,0.5281942
28,task.008.000053,3.3189441064787046,2.300275725931585,3.984194428730887,0.4835841066776242,10000.0,1500000,0.464245
29,task.008.000055,3.651255916617927,2.3184362369145064,4.015649356444719,0.512572907034073,6000.0,2500000,0.5126198
30,task.008.000056,5.2809442585142055,3.50253486705962,6.066568345028762,0.45453503051284194,11000.0,3000000,0.4614122
31,task.008.000057,6.0167859727505215,4.109110316587676,7.11718784223529,0.5484983994002617,9000.0,4500000,0.4562609
32,task.008.000058,5.9229838923935825,3.743432850284722,6.483815891415517,0.6854907814935631,8000.0,9500000,0.5714692
