,nNB,x
0,5,0.05631589164650718
1,10,0.062268747050844744
2,20,0.08153468742519587
3,40,0.09705015715417017
4,60,0.11092348610814144
5,80,0.1214001400936835
6,100,0.12898251779588976
7,150,0.1437524254348799
8,200,0.15539988707692287
9,250,0.16405964116029717
10,300,0.17106374685906559
11,400,0.1821966370906622
12,500,0.18973292166134545
13,600,0.1951537129346237
14,700,0.19930368094602413
15,800,0.2024985214831741
