,task_name,mean_f,std_f_chen,std_f_veclength,RMSE_this,temp,pres,RMSE_dptest
0,task.014.000000,3.3800003991188996,2.3494296898557945,4.069331591641024,0.29706605300523053,10000.0,1500000,0.2970661
1,task.014.000002,1.7987155171721043,1.1328878224677776,1.9622192677902603,0.35602383217333317,2000.0,1500000,0.2442688
2,task.014.000005,2.5059688570938037,1.575302133888173,2.728503333165985,0.30965816252174355,3000.0,5000000,0.3560238
3,task.014.000008,4.997782426048623,3.505548599698109,6.071788283079056,0.29484556488838626,10000.0,6500000,0.301364
4,task.014.000010,3.408181604091394,2.0708634430755226,3.586840698943825,0.2180191523489358,5000.0,9000000,0.2719494
5,task.014.000013,3.4672884140188707,2.2593403727156556,3.913292317135119,0.20409938831754482,7000.0,7500000,0.3096582
6,task.014.000014,5.158182636982569,3.3139655064621123,5.739956631723105,0.25732523494715376,10000.0,8000000,0.2348081
7,task.014.000015,4.191983024843049,2.814894603392869,4.875540471027892,0.2559644934178306,11000.0,5500000,0.2189989
8,task.014.000016,4.33624345567016,2.8604114286054294,4.9543779248952795,0.28578495271384796,6000.0,9500000,0.2948456
9,task.014.000017,4.9920298191766035,3.340090009391103,5.7852055981185995,0.22424828238411476,9000.0,9500000,0.335579
10,task.014.000018,3.6968225249975366,2.468790897825331,4.276071268297057,0.2915856509588618,8000.0,3000000,0.2180192
11,task.014.000019,1.9499733262192083,1.456095710757073,2.5220317517143656,0.3909780435779436,11000.0,500000,0.2351827
12,task.014.000022,2.600093889577266,2.12593817559365,3.682232933878487,0.2398896902010317,6000.0,2500000,0.3017834
13,task.014.000023,5.316589510133274,3.4395307437037266,5.957442002290018,0.3200787940522637,9000.0,7500000,0.2040994
14,task.014.000024,5.378810922791777,3.51285050439248,6.084435553001732,0.32520674745311495,8000.0,7500000,0.2573252
15,task.014.000025,2.042738940321461,1.3907131812801685,2.408785888732995,0.21314797388713222,3000.0,7000000,0.2559645
16,task.014.000030,6.3146568408970145,4.507890484784774,7.807895354603525,0.29622357705317576,9000.0,9000000,0.285785
17,task.014.000033,2.210377580719536,1.617457456340042,2.8015184934620705,0.3240468692746246,11000.0,500000,0.2242483
