,energy
421,-2.157156969422257
422,-2.1513766135618217
423,-2.155041457460156
424,-2.151340044307899
425,-2.162355905960641
426,-2.1483860633662104
427,-2.147954326282633
428,-2.1396296820830605
429,-2.15389315378114
430,-2.1456245537253396
431,-2.1466058029136583
432,-2.1462416598576857
433,-2.150994131610814
434,-2.151119561637414
435,-2.1561551808811803
436,-2.151975613809319
437,-2.144528025109657
438,-2.142260440840977
439,-2.1416292176888745
440,-2.1539812555276
441,-2.1466403568261954
442,-2.1615475367766086
443,-2.150249763235029
444,-2.1439762315910156
445,-2.14947257836959
446,-2.145495216845031
447,-2.1557944334958377
448,-2.1446703637072444
449,-2.1408532365942254
450,-2.1461031700742574
451,-2.157086417869979
452,-2.1483246696451146
453,-2.1554978848881743
454,-2.1490975262674232
455,-2.151825458890414
456,-2.149818755359015
457,-2.1461990044762973
458,-2.1445293224834554
459,-2.1497540751380737
460,-2.151110819714887
461,-2.1529794928618
462,-2.1461187919566838
463,-2.1567839740674994
464,-2.155192604698874
465,-2.151819891777023
466,-2.146766299315271
467,-2.159904219682577
468,-2.153533338461309
469,-2.146039260346526
470,-2.1510620757872134
471,-2.1401663860780253
472,-2.1547788622629964
473,-2.1477530073520046
474,-2.144311476577836
475,-2.1564634970832444
476,-2.158493450298865
477,-2.1439926794693602
478,-2.143188915466148
479,-2.1434403256915053
480,-2.1422730081661046
481,-2.152936561329991
482,-2.148065882544635
483,-2.1570136303161775
484,-2.1477734170622362
485,-2.1463151670431104
486,-2.1517393613045557
487,-2.164614874552535
488,-2.153811576806306
489,-2.1514416869061015
490,-2.148797046639911
491,-2.1469199513267943
492,-2.1483289032867234
493,-2.1405292158058034
494,-2.156822111242358
495,-2.1570532843279904
496,-2.1462175466708615
497,-2.1472804322983126
498,-2.1503366282901295
499,-2.147779358592836
500,-2.152589221101385
501,-2.1490930773768766
502,-2.14659496913332
503,-2.1512024709479025
504,-2.155925037349805
505,-2.152557151890877
506,-2.1461136270677366
507,-2.149603283830161
508,-2.1582948280787138
509,-2.1542247837003616
510,-2.153057778804305
511,-2.151688877037704
512,-2.1492359051522842
513,-2.1475171539201945
514,-2.1500650635168324
515,-2.151102807698388
516,-2.1475222075956903
517,-2.1432776954302435
518,-2.139103532737212
519,-2.1483132315524127
520,-2.15506126322059
521,-2.1438215735299027
522,-2.146901491930055
523,-2.1518688091301987
524,-2.155727932871002
525,-2.146500842207954
526,-2.1526913217546526
527,-2.148286370597988
528,-2.140746253074989
529,-2.1502614256232895
530,-2.1528461371655125
531,-2.1593114656584724
532,-2.148177529159656
533,-2.154752282798493
534,-2.1558063408735944
535,-2.1465859404765304
536,-2.1477661845665
537,-2.145923753133803
538,-2.152292740276294
539,-2.153547546596328
540,-2.152217342399194
541,-2.1517038876219496
542,-2.1533932670516687
543,-2.1583623749580494
544,-2.149088657426524
545,-2.1480748649431347
546,-2.15381492885729
547,-2.1498328281229893
548,-2.1489335897045634
549,-2.1505595212558575
550,-2.149812719099205
551,-2.148467864010792
552,-2.157236507849959
553,-2.146762433561948
554,-2.141787044186026
555,-2.153499144229138
556,-2.150396343245922
557,-2.1591836461457836
558,-2.152408534747334
559,-2.154409997750801
560,-2.150569323172442
561,-2.1494425428740698
562,-2.1474802365670076
563,-2.1474501640256456
564,-2.1438810346312827
565,-2.1531625647389876
566,-2.1459087366155334
567,-2.147038345237164
568,-2.154209333914472
569,-2.148189700285462
570,-2.1550559839289125
571,-2.151065292737739
572,-2.155392762338345
573,-2.143667541809117
574,-2.14907932636811
575,-2.1504281896637
576,-2.147637423811332
577,-2.1465248144921296
578,-2.153820592009078
579,-2.150489506053439
580,-2.147162599264847
581,-2.15526646161176
582,-2.1437670804465183
583,-2.1581549718768254
584,-2.14308274035068
585,-2.1502080205387224
586,-2.1492752047220844
587,-2.1523214991947324
588,-2.155167001430439
589,-2.1462183998688293
590,-2.1437251894724367
591,-2.1429106239721896
592,-2.151399980282101
593,-2.156193863809086
594,-2.14352089479814
595,-2.152897951117198
596,-2.152054381067832
597,-2.154635145556501
598,-2.147507432108344
599,-2.1493003695959128
600,-2.1505134515146733
601,-2.1492943023220636
602,-2.1594676931240953
603,-2.1526177164773963
604,-2.148901810101861
605,-2.1554178783653297
606,-2.1421559188758974
607,-2.148787429437463
608,-2.148085375937343
609,-2.148828195314331
610,-2.154802804299368
611,-2.1597852792882333
612,-2.1569577017380936
613,-2.1481876709527206
614,-2.148019166171066
615,-2.153763926756016
616,-2.1455687035614512
617,-2.143611926965143
618,-2.150338611273149
619,-2.148973156997405
620,-2.157220422680121
621,-2.1552935751717945
622,-2.1482765402561017
623,-2.1490451479446095
624,-2.148587394994999
625,-2.156333956386121
626,-2.150486130213576
627,-2.148920312507248
628,-2.1590274060389305
629,-2.143896791254864
630,-2.154308170287576
631,-2.154512501314574
632,-2.1526745393784625
633,-2.1506401880699277
634,-2.159500253787798
635,-2.1505538198677034
636,-2.144271515337209
637,-2.1515782543068176
638,-2.150407691528745
639,-2.1517322476874843
640,-2.144034947026619
641,-2.1491974706506562
642,-2.1459754645929086
643,-2.1442731999739557
644,-2.1407740682421634
645,-2.15903106421213
646,-2.150569347969033
647,-2.1480234840281023
648,-2.158564517896541
649,-2.1407274829570846
650,-2.151974796871394
651,-2.1577280542137136
652,-2.1573126349109315
653,-2.1548261282679477
654,-2.151100304547334
655,-2.15006721163679
656,-2.1490988934774027
657,-2.148403930992874
658,-2.154898971550558
659,-2.159899529218158
660,-2.154478710805864
661,-2.1490113857309887
662,-2.145918859845256
663,-2.157694202093385
664,-2.1472730921134886
665,-2.1597809905497356
666,-2.148944420771285
667,-2.1465695301921057
668,-2.1484456839050874
669,-2.148497345395509
670,-2.1482923371740448
671,-2.159518257086752
672,-2.158880051935686
673,-2.1572310790337847
674,-2.1556541223691514
675,-2.1484095166263626
676,-2.147490722736907
677,-2.147696800637089
678,-2.1508144683198807
679,-2.1575290897483836
680,-2.148159140692482
681,-2.148098048235191
682,-2.146428778406277
683,-2.1619075723423555
684,-2.1561888635287034
685,-2.1479026429124377
686,-2.1519486981682396
687,-2.1635574716294137
688,-2.153983127052509
689,-2.15136885685124
690,-2.1504324866285547
691,-2.1528985019184432
692,-2.151147203215707
693,-2.1491656660570024
694,-2.1550966670789355
695,-2.1489355179104224
696,-2.153276283381542
697,-2.148605912163133
698,-2.1602496558759507
699,-2.1486647174988494
700,-2.1506107026824157
701,-2.154035762640712
702,-2.1456307075512697
703,-2.151305989374802
704,-2.14951825015247
705,-2.145698425482277
706,-2.1484744443147377
707,-2.1472504575604057
708,-2.1429280846315666
709,-2.1517321082017586
710,-2.1468695216032803
711,-2.158063063991584
712,-2.138637614347443
713,-2.141970010536438
714,-2.147982972729331
715,-2.14907301544884
716,-2.1555074765461204
717,-2.1451952208374516
718,-2.1488583297794155
719,-2.148190245488795
720,-2.1522469529391457
721,-2.1487233119426836
722,-2.146110228694182
723,-2.1488545730346393
724,-2.140764911448296
725,-2.149783208042566
726,-2.1506393523363996
727,-2.158104418707822
728,-2.144474823582422
729,-2.1494882504517707
730,-2.150064846660477
731,-2.149555042671702
732,-2.154056939296226
733,-2.1483975137749725
734,-2.1534340007280366
735,-2.155103850014134
736,-2.1536367469050277
737,-2.1518273012756692
738,-2.146510359549935
739,-2.159764574347138
740,-2.1456175704366593
741,-2.158983679690535
742,-2.151027229361653
743,-2.150774625138617
744,-2.154182868827697
745,-2.1569276573714076
746,-2.1518011054867623
747,-2.148767040967473
748,-2.157962964656618
749,-2.1493347146722437
750,-2.144333259647505
751,-2.144392379308717
752,-2.148730638017406
753,-2.1453539096659484
754,-2.1596469797806024
755,-2.1508364754311833
756,-2.156282486943432
757,-2.1450957823550634
758,-2.147280282251985
759,-2.1438458365071202
760,-2.146780988774929
761,-2.147325886923053
762,-2.15903170190009
763,-2.161052400542861
764,-2.1480641594021397
765,-2.151435410851545
766,-2.156710691517944
767,-2.142080631687302
768,-2.150208975974107
769,-2.1452130430822978
770,-2.155391937606909
771,-2.149099498057555
772,-2.1416027695806767
773,-2.1473331003339684
774,-2.1554653490550826
775,-2.1477465559882294
776,-2.141928092226692
777,-2.155761941278707
778,-2.1630098173171586
779,-2.156099971590754
780,-2.154174309455742
781,-2.1551605538056298
782,-2.1576265066259848
783,-2.147537019006513
784,-2.145599199817983
785,-2.1548737706401377
786,-2.1483115283994305
787,-2.145644974085024
788,-2.1533484420082627
789,-2.1557922187381453
790,-2.148789185271756
791,-2.1487538923033553
792,-2.147789521622334
793,-2.152021637239156
794,-2.148431798811776
795,-2.1492961661842154
796,-2.1550909818945483
797,-2.1563177161049163
798,-2.1513793009252984
799,-2.1559716114384027
800,-2.1442112355749385
801,-2.1463169687763313
802,-2.14634063691349
803,-2.149054700363355
804,-2.1562414524358435
805,-2.149067651550223
806,-2.151181417795847
807,-2.1440578149585576
808,-2.1431414524284276
809,-2.1547914603561664
810,-2.1515977979695804
811,-2.152233240606472
812,-2.1513592615214483
813,-2.1379708575120024
814,-2.152564644104558
815,-2.152305775756636
816,-2.1493330541166027
817,-2.148880687982023
818,-2.1480659924314596
819,-2.1566129383840504
820,-2.1353832214106645
821,-2.149350726499469
822,-2.153202971582744
823,-2.150604882816187
824,-2.15107276865171
825,-2.1525855631201636
826,-2.150285712256477
827,-2.150625180175001
828,-2.1449132389137784
829,-2.147160465565049
830,-2.139324776520303
831,-2.147590920307472
832,-2.1511216830008677
833,-2.1487864202561604
834,-2.1498286939690368
835,-2.1518679400140055
836,-2.1490727882705305
837,-2.150120847324813
838,-2.140987060922659
839,-2.147394102087712
840,-2.152087710896023
841,-2.1512129353191436
842,-2.1552491592110714
843,-2.145183984515827
844,-2.154537182478602
845,-2.1481544270348363
846,-2.1453274523124017
847,-2.146244546620962
848,-2.1530153666012275
849,-2.1625426985635126
850,-2.144017214081207
851,-2.162200806503434
852,-2.145286491055545
853,-2.1438258140205737
854,-2.148738860397878
855,-2.151873283409106
856,-2.155727583688506
857,-2.1506004845442233
858,-2.1546652927837626
859,-2.1493168672230456
860,-2.147385427835596
861,-2.1566989562245595
862,-2.156285923983594
863,-2.152321042731509
864,-2.148898747576714
865,-2.148666599153858
866,-2.1467057945243453
867,-2.1483767361359196
868,-2.1531676641692985
869,-2.1521057809034803
870,-2.1490984904528756
871,-2.1493214967782803
872,-2.147850081726314
873,-2.1582232004616726
874,-2.1533674434429884
875,-2.1466542528461194
876,-2.1429583964329173
877,-2.148924916013154
878,-2.1461351055410507
879,-2.1497234083322936
880,-2.144890875378108
881,-2.146815751041235
882,-2.143490826641514
883,-2.1502012067941516
884,-2.145233195662583
885,-2.154334542149253
886,-2.1529368559860687
887,-2.147428640747901
888,-2.153303497581715
889,-2.1525270196714317
890,-2.1425418497210704
891,-2.149189091445144
892,-2.1511970822881827
893,-2.147368666054122
894,-2.145244547569935
895,-2.1470708886938796
896,-2.148065327380935
897,-2.1424821758725368
898,-2.1506876376674584
899,-2.1450796453754672
900,-2.156304950363426
901,-2.147446341013501
902,-2.1554756347435515
903,-2.1447331917068575
904,-2.1445694807290696
905,-2.144365893940172
906,-2.151132531121992
907,-2.1456967928841912
908,-2.154838784990227
909,-2.149060462573775
910,-2.1507975341906924
911,-2.149445900829286
912,-2.1457056823452323
913,-2.1557764835965956
914,-2.14689518577383
915,-2.1569649695182216
916,-2.14871173097266
917,-2.1567251365410254
918,-2.1582900135674703
919,-2.1530788162871777
920,-2.1533048272592494
921,-2.1457126312475108
922,-2.1443200161981815
923,-2.145508995229194
924,-2.1465728896467886
925,-2.1506760587030693
926,-2.155786018716007
927,-2.153199077900847
928,-2.1541374045094104
929,-2.1515912447583796
930,-2.1495500407981556
931,-2.1506698612708224
932,-2.1446379381490464
933,-2.159079295453683
934,-2.1542240141003925
935,-2.1460192071927757
936,-2.148472068966468
937,-2.1494750108730885
938,-2.145192977858692
939,-2.141512947615393
940,-2.144497851646592
941,-2.1528130193722137
942,-2.148087758930324
943,-2.1536141551899
944,-2.1467547851371704
945,-2.1507778733505507
946,-2.152014579835041
947,-2.151711540015328
948,-2.153042869701888
949,-2.1502253382943004
950,-2.1466694660806507
951,-2.1495373220797425
952,-2.150847909564148
953,-2.1396626031044113
954,-2.1487098722017937
955,-2.143813686524245
956,-2.158613317335291
957,-2.155292330070442
958,-2.1486533360199944
959,-2.1496205284150722
960,-2.15252025939474
961,-2.152963592669264
962,-2.1546516734457266
963,-2.1539810301236804
964,-2.150953507404941
965,-2.157660778645203
966,-2.154190789175454
967,-2.144453844810818
968,-2.1554427191715053
969,-2.159719439521277
970,-2.1516962360444665
971,-2.1632159319792517
972,-2.149756212754332
973,-2.1553522163411922
974,-2.1530531558108774
975,-2.1423347031192757
976,-2.155995405220865
977,-2.1541230900226283
978,-2.1447764503767166
979,-2.1475758566211853
980,-2.1548445203167588
981,-2.1585462433285327
982,-2.14801542154758
983,-2.152198234425275
984,-2.150592775794614
985,-2.150314121348271
986,-2.151288231013844
987,-2.144139933124549
988,-2.1510858035846696
989,-2.149962969310832
990,-2.1461211785298078
991,-2.151486177088689
992,-2.1438048783927557
993,-2.1456140529037473
994,-2.1517632041162633
995,-2.14145167850869
996,-2.155261622625698
997,-2.1547343956260177
998,-2.154699496911288
999,-2.1548629784741222
1000,-2.150219437422063
1001,-2.150219437422063
1002,-2.1445062352282607
1003,-2.1527572651894786
1004,-2.145589885383462
1005,-2.1543291808460223
1006,-2.1633114308793666
1007,-2.1567885094012156
1008,-2.1445077777767434
1009,-2.1454809082982966
1010,-2.1400356134621674
1011,-2.159964685527409
1012,-2.153345352638119
1013,-2.143551225735274
1014,-2.151381897868978
1015,-2.150231099572537
1016,-2.1512625894935695
1017,-2.1535080995559164
1018,-2.153060529600608
1019,-2.152072102958326
1020,-2.1531933767502327
1021,-2.146954725554038
1022,-2.1537404942036
1023,-2.1516698200819513
1024,-2.1587188117750413
1025,-2.1557496268758873
1026,-2.1461535241093785
1027,-2.1523065711557647
1028,-2.1601644087477636
1029,-2.1579930920466395
1030,-2.1540081014289476
1031,-2.14842646597722
1032,-2.161233213897421
1033,-2.1473250458635054
1034,-2.1502521847732745
1035,-2.152924595481008
1036,-2.1569686882870394
1037,-2.153934380093161
1038,-2.151227320127807
1039,-2.149052389502689
1040,-2.1566683068998196
1041,-2.148465600116764
1042,-2.1522619972018564
1043,-2.1575004485920193
1044,-2.156253814499055
1045,-2.1543257631291914
1046,-2.1433979387726407
1047,-2.146001388434724
1048,-2.1553226644754226
1049,-2.155625156700324
1050,-2.1452208236040464
1051,-2.1535921861021947
1052,-2.1553697851745066
1053,-2.1514130568151737
1054,-2.1522516889093817
1055,-2.1457429862551045
1056,-2.147857094303438
1057,-2.1554086583881973
1058,-2.1465093825642705
1059,-2.148639254274854
1060,-2.1456926142304953
1061,-2.1425943676845667
1062,-2.14870643849395
1063,-2.1552356085133324
1064,-2.15026130937426
1065,-2.1556477804388297
1066,-2.1528982869923428
1067,-2.1569230064147153
1068,-2.1383850777979383
1069,-2.157403399408061
1070,-2.1490831732213036
1071,-2.1516974092253314
1072,-2.1548023623414365
1073,-2.15228626268154
1074,-2.158241895042103
1075,-2.1552700759284207
1076,-2.151871779189811
1077,-2.1472086731205593
1078,-2.1563598152453403
1079,-2.1469349400743
1080,-2.1496000669564723
1081,-2.1510862347143833
1082,-2.1502445682221514
1083,-2.147643979834358
1084,-2.145018815728461
1085,-2.140275290551728
1086,-2.150563093738854
1087,-2.156885389857467
1088,-2.146282858382917
1089,-2.141654987557873
1090,-2.1524017030757046
1091,-2.1482549178235644
1092,-2.1440830409113
1093,-2.150358423810436
1094,-2.1500213788539293
1095,-2.146421174646398
1096,-2.1486864398265006
1097,-2.1541876140701866
1098,-2.1559808053753935
1099,-2.151033965740345
1100,-2.146062784864903
1101,-2.1537911263594163
1102,-2.1525873507908106
1103,-2.150438720012418
1104,-2.151007595893359
1105,-2.1517512821331675
1106,-2.1559987523932325
1107,-2.1552057645527793
1108,-2.1539116273530565
1109,-2.1499396033623
1110,-2.1487883882486756
1111,-2.156589672314217
1112,-2.151198268783602
1113,-2.157281252225509
1114,-2.144768658017625
1115,-2.1473658063937426
1116,-2.1504528169121664
1117,-2.1485031539961317
1118,-2.148336297575678
1119,-2.1562200631800645
1120,-2.1539550612104197
1121,-2.144111670820437
1122,-2.1567436520455443
1123,-2.1470480151949918
1124,-2.1577423452920983
1125,-2.152802367156223
1126,-2.153246751696166
1127,-2.148626435807569
1128,-2.147461159972182
1129,-2.1546457097220726
1130,-2.1607439381176565
1131,-2.149501699786465
1132,-2.1522818888442337
1133,-2.1493868346016836
1134,-2.1446425851661672
1135,-2.1496725721369327
1136,-2.148472038751894
1137,-2.150867461297481
1138,-2.150247261950939
1139,-2.1459384547033746
1140,-2.148869088430255
1141,-2.1591491460148085
1142,-2.1524670586076295
1143,-2.150272702254003
1144,-2.141072398006635
1145,-2.156804697176346
1146,-2.15217003628974
1147,-2.149981433474869
1148,-2.1554699142017824
1149,-2.1526982301498885
1150,-2.155591823851305
1151,-2.151425552044748
1152,-2.149826669566675
1153,-2.152325206692766
1154,-2.14020058341257
1155,-2.1565779955439695
1156,-2.1567726124735467
1157,-2.1596583469325665
1158,-2.1490436527407546
1159,-2.153705011264304
1160,-2.149072315017541
1161,-2.149625586585168
1162,-2.1500484614612843
1163,-2.149320914730384
1164,-2.137279693709867
1165,-2.1513225663799576
1166,-2.140334917076975
1167,-2.146724297017786
1168,-2.1478211956315674
1169,-2.1411750497318955
1170,-2.1444180817330625
1171,-2.149214331233815
1172,-2.150991193419898
1173,-2.1426397506316675
1174,-2.1501005036468244
1175,-2.157671777947314
1176,-2.154541476429744
1177,-2.1574099496163055
1178,-2.150753407995313
1179,-2.1507950205757935
1180,-2.1520094517289166
1181,-2.153781996768156
1182,-2.1454818699860474
1183,-2.1514540183470943
1184,-2.144554290296249
1185,-2.1476828383230115
1186,-2.1512764371439927
1187,-2.147489729910949
1188,-2.1479214013444494
1189,-2.1549324460392496
1190,-2.149972775114678
1191,-2.1545636862156186
1192,-2.152665968395465
1193,-2.137442066372734
1194,-2.1535174965650943
1195,-2.153687555828519
1196,-2.1555865287120826
