,nNB,x
0,5,0.007936842141439538
1,10,0.0029366403186693217
2,20,0.002617177453428229
3,40,0.0004039852851989159
4,60,0.00014073004245715025
5,80,0.00012012623968639955
6,100,0.0001289243018334519
7,150,0.0002035032054001967
8,200,0.00037539941587858206
9,250,0.0005656334530528748
10,300,0.0008435292527488447
11,400,0.001506593148943749
12,500,0.0021426510893792694
13,600,0.002770910492276828
14,700,0.003404406753806231
15,800,0.004028196405444078
