,task_name,scf_e,diff,temp,pres
393,task.007.000932,31.550485610961918,-0.16602746472889152,6000.0,5500000
394,task.007.000934,79.81768798828125,0.718286239473116,7000.0,10000000
395,task.007.000935,63.52462005615234,1.4029545386942601,7000.0,7500000
396,task.007.000936,86.3157958984375,-0.7762781688988412,8000.0,10500000
397,task.007.000937,40.37284851074219,0.14873732095355763,11000.0,5000000
398,task.007.000938,73.14328765869139,0.7726434429253288,4000.0,10000000
399,task.007.000939,52.24553298950195,-0.1601964038088255,12000.0,6500000
400,task.007.000940,77.11327362060547,-0.24543188654654102,11000.0,9500000
401,task.007.000943,68.28671264648438,0.18282529853189544,4000.0,8500000
402,task.007.000944,50.90059661865234,0.7137989668937976,3000.0,7000000
403,task.007.000945,-24.72903823852539,-1.7827569608426614,12000.0,500000
404,task.007.000947,58.47457885742188,0.24309534250097187,9000.0,8000000
405,task.007.000950,26.857599258422848,-0.18559624917648776,1000.0,5500000
406,task.007.000952,81.8624801635742,-1.0402251073529811,9000.0,10000000
407,task.007.000954,-30.045152664184567,0.29159086896969555,8000.0,500000
408,task.007.000955,-8.433485984802246,-0.36113464989742106,11000.0,1500000
409,task.007.000957,12.06071090698242,-1.0075828969724068,10000.0,3000000
410,task.007.000958,76.75788116455078,0.2456809086042,11000.0,8500000
411,task.007.000959,63.025249481201165,-0.006358421270562076,5000.0,8500000
412,task.007.000960,25.287818908691406,-0.6779474629555615,3000.0,5000000
413,task.007.000961,0.6687719225883484,0.7269367965482796,6000.0,2000000
414,task.007.000962,40.7746467590332,0.12411162895574535,4000.0,6000000
415,task.007.000966,70.44850158691406,-0.8900363692963822,11000.0,9000000
416,task.007.000967,6.430778980255127,-0.19563201958460752,5000.0,3500000
417,task.007.000972,22.397396087646484,1.035868081833268,5000.0,4000000
418,task.007.000973,83.0452423095703,0.554777298466334,8000.0,9500000
419,task.007.000974,67.26390075683594,0.010160632172556916,5000.0,9000000
420,task.007.000976,-22.51729965209961,0.7510010871720318,7000.0,1000000
421,task.007.000977,8.36505126953125,-1.8310574001813933,12000.0,3000000
422,task.007.000982,33.842552185058594,-0.7587872990003959,8000.0,5500000
423,task.007.000983,2.708533763885498,0.01138811840624987,10000.0,2500000
424,task.007.000984,55.8239631652832,0.6901709862769252,6000.0,7000000
425,task.007.000985,19.94433212280273,-0.10586960170638804,6000.0,4000000
426,task.007.000986,72.57991790771484,-0.43399111471654805,7000.0,9500000
427,task.007.000989,33.64670944213867,-0.07118809135156567,9000.0,5000000
428,task.007.000990,16.98089027404785,0.26582483548494196,5000.0,3500000
429,task.007.000993,74.50121307373047,0.7929838014930652,6000.0,9000000
430,task.007.000994,38.645069122314446,0.015661020175812723,12000.0,5500000
431,task.007.000995,41.784400939941406,0.5981509612131646,3000.0,6500000
432,task.007.000996,-11.442267417907715,-0.8264867022522324,12000.0,2000000
433,task.007.000998,34.74547576904297,0.10894067213821046,9000.0,5000000
434,task.007.001004,-15.95082950592041,0.9471574122492079,4000.0,1500000
435,task.007.001006,47.18601989746094,-0.016408322699184907,10000.0,6500000
436,task.007.001007,17.55280876159668,0.6082022743257127,5000.0,4000000
437,task.007.001008,89.11073303222656,0.01828711158522367,9000.0,10500000
438,task.007.001011,49.99883270263672,-0.4178962363791996,2000.0,7500000
439,task.007.001013,2.761604070663452,-0.27692994173584884,10000.0,3000000
440,task.007.001014,25.25181198120117,1.3293240228976408,7000.0,4500000
441,task.007.001016,54.44036865234375,-0.12359784045096234,7000.0,7000000
442,task.007.001017,-42.25177383422852,-1.23379403073816,1000.0,500000
443,task.007.001018,30.00235939025879,0.4404396908085424,4000.0,5000000
444,task.007.001019,8.524975776672363,-0.1635828917881632,12000.0,3000000
445,task.007.001022,65.31859588623047,-0.44728984555234774,1000.0,9500000
446,task.007.001023,54.64328002929688,-0.9106246313610313,10000.0,7500000
447,task.007.001025,65.80548095703125,1.1972491243698613,4000.0,8500000
448,task.007.001026,83.94481658935545,-0.08906713876278616,8000.0,10500000
449,task.007.001029,-8.969839096069336,0.8552100417552566,10000.0,2000000
450,task.007.001031,-5.385048866271973,-0.5740037219466636,9000.0,2000000
451,task.007.001034,52.29409027099609,0.6033439939493732,8000.0,7000000
452,task.007.001035,36.974632263183594,-0.14107569596394143,8000.0,5500000
453,task.007.001036,57.55928421020508,-0.31364529513912487,11000.0,7500000
454,task.007.001037,45.049121856689446,0.2603792378574994,2000.0,7000000
455,task.007.001044,-19.320335388183597,0.18147135732413133,9000.0,1500000
456,task.007.001045,-6.92685604095459,-0.6418622028747123,12000.0,2000000
457,task.007.001046,-16.19783592224121,-0.27785131736097135,10000.0,1500000
458,task.007.001048,3.4786691665649414,-0.5732832150785816,1000.0,3500000
459,task.007.001049,90.07598114013673,0.22115854463002904,12000.0,10500000
460,task.007.001052,76.7279052734375,0.18249471009752938,4000.0,10000000
461,task.007.001055,17.850893020629883,-0.28077844218296377,5000.0,3500000
462,task.007.001057,33.56547927856445,-0.10084020508431024,7000.0,5000000
463,task.007.001058,28.35191535949707,0.2966194710204313,1000.0,5500000
464,task.007.001059,78.01507568359375,-0.5230662113280005,3000.0,10500000
465,task.007.001060,80.53751373291014,-0.2983159318776387,7000.0,10000000
466,task.007.001061,90.99545288085936,-1.54125975512504,11000.0,10500000
467,task.007.001062,-20.759353637695312,0.21459216325723318,11000.0,1000000
468,task.007.001063,27.248193740844727,-0.8172544016493717,12000.0,4000000
469,task.007.001064,40.69314956665039,0.4787670848193315,6000.0,6000000
470,task.007.001065,59.11702728271484,0.03256683527934712,9000.0,7500000
471,task.007.001066,-1.723471760749817,0.0989934353255526,8000.0,2500000
472,task.007.001067,64.06160736083984,1.0079083498114443,11000.0,7500000
473,task.007.001068,-43.74459457397461,-0.9079174604072335,1000.0,500000
474,task.007.001072,64.42285919189453,0.2398651208706042,5000.0,8500000
475,task.007.001075,39.89263153076172,-0.9503849255555181,12000.0,5500000
476,task.007.001076,13.001903533935547,0.4256239088142184,7000.0,3500000
477,task.007.001077,87.86131286621092,-1.098204372695534,11000.0,10000000
478,task.007.001080,49.13761520385742,0.2880967555039504,7000.0,7000000
479,task.007.001081,-1.593961238861084,0.44083467995469494,4000.0,3000000
480,task.007.001084,78.41048431396483,-1.0676642237254015,12000.0,9500000
481,task.007.001085,84.8519058227539,-0.7568588152485347,10000.0,10500000
