,task_name,scf_e,diff,temp,pres
0,task.014.000000,-57.24191665649414,-1.103965017268692,10000.0,1500000
1,task.014.000002,-58.26354980468751,0.10028866197184527,2000.0,1500000
2,task.014.000003,-64.06916809082031,0.07763726832723705,5000.0,1000000
3,task.014.000005,-20.73433494567871,0.65789173740853,3000.0,5000000
4,task.014.000008,-16.925369262695312,-0.7416355242611381,10000.0,6500000
5,task.014.000010,1.8637613058090208,-0.13088603695144596,5000.0,9000000
6,task.014.000013,-7.624866485595702,-0.01302517056698882,7000.0,7500000
7,task.014.000014,-4.452423572540283,-1.1958284783376545,10000.0,8000000
8,task.014.000015,-25.31671905517578,-1.4757240573097121,11000.0,5500000
9,task.014.000016,3.3128497600555415,0.11072366085905694,6000.0,9500000
10,task.014.000017,4.777060508728027,-1.0390689940529274,9000.0,9500000
11,task.014.000018,-40.12897872924805,-0.48385461523007933,8000.0,3000000
12,task.014.000019,-71.88733673095703,-0.9494805830914999,11000.0,500000
13,task.014.000022,-47.92064666748047,-0.25880668280633046,6000.0,2500000
14,task.014.000023,-1.5767138004302979,-0.8822589835708718,9000.0,7500000
15,task.014.000024,-3.6180765628814697,-0.37410964091830134,8000.0,7500000
16,task.014.000025,-7.935966968536378,0.18047712616665468,3000.0,7000000
17,task.014.000030,1.230814814567566,-0.6445658159118222,9000.0,9000000
18,task.014.000033,-70.1840591430664,-0.7931854449346076,11000.0,500000
19,task.014.000034,-42.88562774658203,-1.442569333609029,11000.0,4000000
20,task.014.000035,13.43009567260742,-0.318956630188854,6000.0,10500000
21,task.014.000041,-25.18509101867676,-0.1877340609315219,9000.0,5500000
22,task.014.000043,-53.1913948059082,-1.0018238426250363,8000.0,1500000
23,task.014.000044,-9.122997283935545,0.25447059214193324,1000.0,7000000
24,task.014.000047,-15.64317512512207,0.36549626349604836,1000.0,5500000
25,task.014.000048,8.3428955078125,-1.3431065781718807,11000.0,9000000
26,task.014.000051,-33.66446685791016,-1.481617053354853,11000.0,4500000
27,task.014.000054,-10.630624771118164,0.14910201317273142,3000.0,6000000
28,task.014.000056,-12.70847988128662,-1.3650094463840592,11000.0,6500000
29,task.014.000057,10.035664558410645,-0.38357687601172863,6000.0,10000000
30,task.014.000058,-38.676582336425774,-0.40648632527823736,6000.0,3500000
31,task.014.000059,-70.48465728759766,1.3509699789353817,6000.0,500000
32,task.014.000060,-58.87018203735352,-0.19822256995859533,3000.0,1500000
33,task.014.000061,-49.27312088012695,0.20910367991541534,3000.0,2500000
34,task.014.000062,-5.285751819610596,-0.013633888634634772,5000.0,8000000
35,task.014.000063,-16.967214584350582,0.2741525223770864,2000.0,5500000
36,task.014.000064,-32.989593505859375,0.5248926957917632,4000.0,4500000
37,task.014.000065,-50.87920379638672,-0.5481851811766063,6000.0,2000000
38,task.014.000066,9.645073890686035,-0.49449030056488397,7000.0,10000000
39,task.014.000067,-40.49517059326172,-1.8583836655837658,11000.0,2500000
40,task.014.000069,-39.17653274536133,-1.4999029580023517,11000.0,4500000
41,task.014.000072,-2.5836989879608154,-0.0803297401750731,3000.0,8000000
42,task.014.000078,-13.716059684753416,-0.29977200187532027,7000.0,6000000
43,task.014.000081,-48.81997299194336,-1.1402599459942522,10000.0,3000000
44,task.014.000082,15.455657958984377,-0.28029022836861905,1000.0,10500000
45,task.014.000083,-56.88194274902344,0.20016712416820326,4000.0,1500000
46,task.014.000084,11.60288429260254,-0.3071677498772818,6000.0,10500000
47,task.014.000085,6.740868568420409,-1.7883165809903945,12000.0,9500000
48,task.014.000086,-32.43246841430664,-0.3862967951795042,8000.0,4500000
49,task.014.000087,3.8084137439727774,-0.12892763597124723,2000.0,9000000
50,task.014.000088,-10.823068618774414,-0.8045663463375661,9000.0,7000000
51,task.014.000089,-43.77504348754882,-1.521976079868054,11000.0,3000000
52,task.014.000090,-48.40579605102539,-1.9047068442883415,11000.0,2500000
53,task.014.000091,-51.25313186645508,0.11128974824204363,2000.0,2000000
54,task.014.000092,-19.68272590637207,-1.3552770043005502,11000.0,5500000
55,task.014.000093,-61.03677749633789,0.23912757248287164,4000.0,1000000
56,task.014.000094,-82.98089599609375,-1.7289961978395354,1000.0,500000
57,task.014.000095,-9.429272651672365,0.11785241341570618,3000.0,7000000
58,task.014.000096,-51.890419006347656,-0.6113736282437898,7000.0,2500000
59,task.014.000099,-6.258536338806152,-1.0198813689267672,11000.0,8500000
60,task.014.000108,-3.558362007141113,-1.1012700528749786,11000.0,8500000
61,task.014.000112,2.10359525680542,0.10438016130870831,1000.0,8500000
62,task.014.000118,-32.51816177368164,0.7777367811116775,3000.0,4500000
63,task.014.000119,-30.87602424621582,-0.8525032989402455,9000.0,5000000
64,task.014.000120,-0.4918205440044403,-0.06382158864466508,6000.0,8500000
65,task.014.000122,-33.06093978881836,-0.009645355446878057,6000.0,4500000
66,task.014.000129,14.643549919128416,-0.04855060614007911,2000.0,10500000
67,task.014.000132,-35.13816833496094,-0.45440312330346444,7000.0,4000000
68,task.014.000137,-0.9477667212486269,-0.36939871600625496,5000.0,8500000
69,task.014.000146,9.212353706359863,-0.6955138259634044,8000.0,10000000
70,task.014.000147,-68.2886734008789,-0.1988884889676683,1000.0,1000000
71,task.014.000149,-0.0004084699903614819,-0.6444755542743528,10000.0,8500000
72,task.014.000162,-28.328147888183597,-0.6749797248391509,9000.0,4500000
73,task.014.000163,-50.48395919799805,-0.014372148283300135,5000.0,2000000
74,task.014.000172,-32.3995475769043,0.4273093708143634,2000.0,4500000
75,task.014.000173,-49.14582824707031,0.3975387766402818,4000.0,2500000
76,task.014.000174,2.0961484909057617,-0.40000657343337975,7000.0,9000000
