,0.073
0,0.0043912997410855
2,0.0052976625765895
3,0.0113486737479446
4,0.0125214683729895
8,0.0119174454762136
9,0.0104430622798658
10,0.0083031091750205
11,0.0046164253684242
12,0.0085577502366576
13,0.0088265467894432
14,0.0069963472802805
16,0.0143162759164918
17,0.0068324398684311
18,0.0134973855174052
19,0.0075941049237239
20,0.0093809105905774
21,0.0082791220647082
22,0.010152188116019
23,0.0084247333806008
24,0.0112363277860041
25,0.009998996541819
26,0.0095175395714555
27,0.0083995525913363
30,0.0100799811955527
31,0.0101057844945865
32,0.0072613388185837
33,0.0062947706357194
34,0.0074346909763683
35,0.0143498871414619
36,0.0139631007863736
38,0.0097178343648421
39,0.0129269846509908
42,0.0097735308356602
43,0.0149931381201208
44,0.0073634353142564
45,0.0059515347571371
46,0.0073462669978919
47,0.0071933477680232
48,0.0094696672959835
49,0.0086461493941628
51,0.0064387917332598
52,0.0118804330338384
54,0.0088524378642516
55,0.0121637142553918
56,0.011462399872542
57,0.0103116315683041
58,0.0072044720125398
59,0.0099585673345271
61,0.009786255588617
62,0.0082939821268689
63,0.0104311627687462
64,0.0073928340831042
65,0.0123743101482853
66,0.0134270794063107
67,0.0114469521463956
68,0.0112694800888295
70,0.0102180478304087
71,0.0139591060799891
73,0.0108192656486316
74,0.0125691986198428
75,0.0119999325320703
76,0.0083417032184211
77,0.0135496210602799
79,0.0072991104297806
80,0.0090727848689851
81,0.0131465038146477
82,0.0084030239010232
83,0.0123042534066805
85,0.0100026409562233
86,0.0093905755545263
88,0.0077864214319592
89,0.0071570119821714
90,0.0083214471318633
91,0.0088395195694598
92,0.0112572217918131
93,0.0082728024896884
94,0.0097639893554942
96,0.0159049828051668
98,0.0108269765031051
99,0.0083633606549654
100,0.0110575670312138
101,0.0075203557120009
102,0.0093540666830746
104,0.0149083835728652
105,0.0073538686503422
106,0.0075087198469505
107,0.0079568932497187
108,0.0083930989115702
109,0.0137239804503439
111,0.0085889914142769
112,0.006359636525908
114,0.0125196861465243
115,0.0118345087838445
118,0.0081485899605005
119,0.0105080138974281
120,0.0100886975639482
122,0.0142265980435865
123,0.0084892956015709
124,0.0153519760387958
125,0.0128529700970846
